,Load Profile
2016-01-01 00:00:00,0.18200000000000013
2016-01-01 00:01:00,0.18300000000000013
2016-01-01 00:02:00,22186.28826997441
2016-01-01 00:03:00,22186.291269974412
2016-01-01 00:04:00,22186.297269974413
2016-01-01 00:05:00,22186.300269974414
2016-01-01 00:06:00,22186.301269974414
2016-01-01 00:07:00,22186.30526997441
2016-01-01 00:08:00,22186.30626997441
2016-01-01 00:09:00,155145.60294627913
2016-01-01 00:10:00,270838.58752005687
2016-01-01 00:11:00,248652.48825008245
2016-01-01 00:12:00,248652.49225008243
2016-01-01 00:13:00,248652.49525008246
2016-01-01 00:14:00,248652.49725008244
2016-01-01 00:15:00,296723.0286898439
2016-01-01 00:16:00,296723.0296898439
2016-01-01 00:17:00,163763.73601353916
2016-01-01 00:18:00,48070.760439761456
2016-01-01 00:19:00,69637.93988802281
2016-01-01 00:20:00,69637.94088802281
2016-01-01 00:21:00,63673.76412240809
2016-01-01 00:22:00,81859.85991189681
2016-01-01 00:23:00,81859.8619118968
2016-01-01 00:24:00,81859.8649118968
2016-01-01 00:25:00,81859.8659118968
2016-01-01 00:26:00,140536.64241003364
2016-01-01 00:27:00,160920.06163286648
2016-01-01 00:28:00,186063.0127998621
2016-01-01 00:29:00,166089.05026135888
2016-01-01 00:30:00,143956.67612571514
2016-01-01 00:31:00,253322.22391187423
2016-01-01 00:32:00,253322.22691187423
2016-01-01 00:33:00,253322.2289118742
2016-01-01 00:34:00,177964.21968226926
2016-01-01 00:35:00,295420.89677998476
2016-01-01 00:36:00,295420.9017799847
2016-01-01 00:37:00,252091.86382350032
2016-01-01 00:38:00,252091.86582350035
2016-01-01 00:39:00,291375.6727428784
2016-01-01 00:40:00,234408.2328302733
2016-01-01 00:41:00,313381.6129485675
2016-01-01 00:42:00,313381.6149485674
2016-01-01 00:43:00,313381.6169485674
2016-01-01 00:44:00,313381.6199485675
2016-01-01 00:45:00,238885.36412097194
2016-01-01 00:46:00,283088.33790044393
2016-01-01 00:47:00,283088.33790044393
2016-01-01 00:48:00,301479.0109689012
2016-01-01 00:49:00,245956.8234169997
2016-01-01 00:50:00,287691.179477733
2016-01-01 00:51:00,193386.44539620556
2016-01-01 00:52:00,170267.0964172015
2016-01-01 00:53:00,170267.1004172015
2016-01-01 00:54:00,336968.54038384696
2016-01-01 00:55:00,298736.8160242738
2016-01-01 00:56:00,364392.64203119185
2016-01-01 00:57:00,353161.25496636395
2016-01-01 00:58:00,353161.261966364
2016-01-01 00:59:00,452409.8613352247
2016-01-01 01:00:00,410675.50927449163
2016-01-01 01:01:00,428584.0799917807
2016-01-01 01:02:00,257554.62688468207
2016-01-01 01:03:00,237196.7502116565
2016-01-01 01:04:00,263024.0928077926
2016-01-01 01:05:00,263024.09480779263
2016-01-01 01:06:00,270446.6396474263
2016-01-01 01:07:00,363087.6840010971
2016-01-01 01:08:00,363087.6860010971
2016-01-01 01:09:00,311964.42458704294
2016-01-01 01:10:00,263938.3537093394
2016-01-01 01:11:00,227258.59208017832
2016-01-01 01:12:00,227258.59208017832
2016-01-01 01:13:00,227258.59208017832
2016-01-01 01:14:00,227258.59208017832
2016-01-01 01:15:00,97944.31406386656
2016-01-01 01:16:00,205581.93117845157
2016-01-01 01:17:00,155763.32906939165
2016-01-01 01:18:00,144152.24788500168
2016-01-01 01:19:00,144152.24788500168
2016-01-01 01:20:00,144152.24788500168
2016-01-01 01:21:00,144152.24788500168
2016-01-01 01:22:00,205217.46652234343
2016-01-01 01:23:00,205217.46652234343
2016-01-01 01:24:00,205217.46652234343
2016-01-01 01:25:00,255263.69687932843
2016-01-01 01:26:00,111111.82999432714
2016-01-01 01:27:00,162983.2351025988
2016-01-01 01:28:00,101918.01646525794
2016-01-01 01:29:00,101918.01646525794
2016-01-01 01:30:00,101918.01646525794
2016-01-01 01:31:00,101918.01646525794
2016-01-01 01:32:00,101918.01646525794
2016-01-01 01:33:00,101918.01646525794
2016-01-01 01:34:00,51871.78610827157
2016-01-01 01:35:00,51871.78610827157
2016-01-01 01:36:00,0.3810000000000003
2016-01-01 01:37:00,59983.534465438715
2016-01-01 01:38:00,59983.534465438715
2016-01-01 01:39:00,91233.39911219926
2016-01-01 01:40:00,141378.4272589373
2016-01-01 01:41:00,141378.4272589373
2016-01-01 01:42:00,192629.5790003231
2016-01-01 01:43:00,132646.42553488456
2016-01-01 01:44:00,132646.42553488456
2016-01-01 01:45:00,132646.42553488456
2016-01-01 01:46:00,167511.9035481038
2016-01-01 01:47:00,209626.6293508218
2016-01-01 01:48:00,179707.47500753382
