0,Usage
2016-01-01 00:00:00,22.045999999999736
2016-01-01 00:01:00,42.070999999999515
2016-01-01 00:02:00,72.09499999999963
2016-01-01 00:03:00,92.11800000000004
2016-01-01 00:04:00,102.15299999999999
2016-01-01 00:05:00,142.18100000000052
2016-01-01 00:06:00,162.20600000000056
2016-01-01 00:07:00,172.22700000000057
2016-01-01 00:08:00,202.25000000000045
2016-01-01 00:09:00,252.2730000000004
2016-01-01 00:10:00,272.29900000000123
2016-01-01 00:11:00,302.3220000000022
2016-01-01 00:12:00,302.34899999999993
2016-01-01 00:13:00,302.3890000000001
2016-01-01 00:14:00,342.4150000000027
2016-01-01 00:15:00,322.45200000000307
2016-01-01 00:16:00,312.48200000000213
2016-01-01 00:17:00,302.5140000000019
2016-01-01 00:18:00,342.5350000000021
2016-01-01 00:19:00,312.57500000000243
2016-01-01 00:20:00,342.6170000000028
2016-01-01 00:21:00,332.6440000000021
2016-01-01 00:22:00,342.68300000000136
2016-01-01 00:23:00,322.7060000000017
2016-01-01 00:24:00,352.73400000000277
2016-01-01 00:25:00,362.7580000000032
2016-01-01 00:26:00,402.79500000000377
2016-01-01 00:27:00,402.81800000000396
2016-01-01 00:28:00,442.8460000000039
2016-01-01 00:29:00,412.8790000000039
2016-01-01 00:30:00,432.90400000000443
2016-01-01 00:31:00,452.93100000000584
2016-01-01 00:32:00,452.95100000000525
2016-01-01 00:33:00,472.98300000000495
2016-01-01 00:34:00,443.01100000000565
2016-01-01 00:35:00,443.037000000005
2016-01-01 00:36:00,463.0640000000058
2016-01-01 00:37:00,503.08400000000506
2016-01-01 00:38:00,523.1080000000051
2016-01-01 00:39:00,563.1380000000051
2016-01-01 00:40:00,573.1700000000061
2016-01-01 00:41:00,583.1970000000064
2016-01-01 00:42:00,563.2170000000068
2016-01-01 00:43:00,583.2480000000073
2016-01-01 00:44:00,643.270000000006
2016-01-01 00:45:00,623.3060000000082
2016-01-01 00:46:00,593.3310000000082
2016-01-01 00:47:00,583.3620000000082
2016-01-01 00:48:00,543.3870000000074
2016-01-01 00:49:00,563.4100000000067
2016-01-01 00:50:00,583.4450000000063
2016-01-01 00:51:00,583.472000000006
2016-01-01 00:52:00,613.496000000005
2016-01-01 00:53:00,643.5130000000042
2016-01-01 00:54:00,613.5390000000046
2016-01-01 00:55:00,633.5670000000054
2016-01-01 00:56:00,633.590000000005
2016-01-01 00:57:00,623.619000000006
2016-01-01 00:58:00,623.6440000000068
2016-01-01 00:59:00,653.6630000000029
2016-01-01 01:00:00,623.6930000000027
2016-01-01 01:01:00,583.7330000000029
2016-01-01 01:02:00,623.761000000003
2016-01-01 01:03:00,663.779000000005
2016-01-01 01:04:00,663.8190000000053
2016-01-01 01:05:00,673.8390000000048
2016-01-01 01:06:00,703.862000000002
2016-01-01 01:07:00,713.8890000000034
2016-01-01 01:08:00,713.9120000000038
2016-01-01 01:09:00,753.933000000005
2016-01-01 01:10:00,713.9610000000062
2016-01-01 01:11:00,723.976000000009
2016-01-01 01:12:00,763.9720000000027
2016-01-01 01:13:00,763.9720000000094
2016-01-01 01:14:00,753.9730000000079
2016-01-01 01:15:00,803.9680000000039
2016-01-01 01:16:00,813.9670000000085
2016-01-01 01:17:00,763.9720000000096
2016-01-01 01:18:00,723.9760000000084
2016-01-01 01:19:00,733.9750000000085
2016-01-01 01:20:00,723.9760000000081
2016-01-01 01:21:00,703.9780000000073
2016-01-01 01:22:00,683.9800000000076
2016-01-01 01:23:00,643.9840000000063
2016-01-01 01:24:00,623.9860000000057
2016-01-01 01:25:00,543.9940000000046
2016-01-01 01:26:00,533.9950000000049
2016-01-01 01:27:00,563.9920000000054
2016-01-01 01:28:00,523.9960000000067
2016-01-01 01:29:00,543.9940000000062
2016-01-01 01:30:00,543.9940000000057
2016-01-01 01:31:00,513.997000000006
2016-01-01 01:32:00,543.9940000000068
2016-01-01 01:33:00,533.9950000000072
2016-01-01 01:34:00,573.9910000000084
2016-01-01 01:35:00,563.9920000000079
2016-01-01 01:36:00,613.9870000000086
2016-01-01 01:37:00,603.9880000000079
2016-01-01 01:38:00,593.9890000000076
2016-01-01 01:39:00,623.9860000000073
2016-01-01 01:40:00,623.9860000000075
2016-01-01 01:41:00,633.985000000008
2016-01-01 01:42:00,653.9830000000081
2016-01-01 01:43:00,693.9790000000089
2016-01-01 01:44:00,763.9720000000008
2016-01-01 01:45:00,793.9689999999961
2016-01-01 01:46:00,823.9659999999939
2016-01-01 01:47:00,783.9699999999984
2016-01-01 01:48:00,803.967999999999
2016-01-01 01:49:00,803.9680000000077
2016-01-01 01:50:00,843.96400000001
2016-01-01 01:51:00,823.9660000000118
2016-01-01 01:52:00,753.973000000012
2016-01-01 01:53:00,693.9790000000104
2016-01-01 01:54:00,723.9760000000103
2016-01-01 01:55:00,683.9800000000095
2016-01-01 01:56:00,603.9880000000088
2016-01-01 01:57:00,603.9880000000082
2016-01-01 01:58:00,633.9850000000074
2016-01-01 01:59:00,673.9810000000093
2016-01-01 02:00:00,703.9780000000081
2016-01-01 02:01:00,753.9730000000086
2016-01-01 02:02:00,743.9740000000078
2016-01-01 02:03:00,783.9700000000089
2016-01-01 02:04:00,773.9710000000083
2016-01-01 02:05:00,773.9710000000096
2016-01-01 02:06:00,763.9720000000087
2016-01-01 02:07:00,743.9740000000073
2016-01-01 02:08:00,663.9820000000072
2016-01-01 02:09:00,673.9810000000059
2016-01-01 02:10:00,683.9800000000062
2016-01-01 02:11:00,703.9780000000053
2016-01-01 02:12:00,693.9790000000073
