,0
0,3937.2909999999983
1,5855.2650000000085
2,6948.242000000006
3,8330.232000000007
4,9079.232000000007
5,9492.231000000005
6,9910.234000000008
7,10334.238000000008
8,10992.236000000008
9,11187.23400000001
10,10967.229000000007
11,10495.222000000009
12,10022.225000000006
13,9404.228000000006
14,8975.224000000006
15,8786.224000000004
16,12335.217000000004
17,12168.215000000002
18,11757.206000000002
19,11370.216
20,11859.213000000003
21,12576.203000000005
22,12132.198000000004
23,11795.204000000007
24,12520.195000000009
25,12425.200000000008
26,12317.186000000009
27,12115.180000000011
28,12099.176000000007
29,12076.174000000006
30,11923.161000000007
31,12034.148000000007
32,12180.141000000007
33,12489.133000000007
34,12099.125000000007
35,11976.115000000007
36,12714.104000000008
37,13239.099000000007
38,14148.08800000001
39,14148.08200000001
40,14232.08300000001
41,13976.08300000001
42,13352.081000000007
43,13281.076000000006
44,12346.081000000006
45,11565.076000000006
46,10891.076000000006
47,10363.080000000005
48,9575.079000000002
49,9596.075
50,9164.074
51,9283.074
52,9351.071
53,8786.069000000001
54,8856.071000000002
55,9301.065000000002
56,9644.061000000003
57,9373.060000000003
58,9731.054000000004
59,9213.055000000004
60,9204.053000000004
61,8988.050000000003
62,9649.042000000003
63,10163.043000000003
64,11483.039000000002
65,11309.045000000004
66,12357.042000000005
67,12294.035000000003
68,12767.039000000002
69,13035.035000000003
70,13360.030000000002
71,13266.029000000004
72,12559.019000000002
73,12059.020000000002
74,11914.018000000002
75,11001.019000000002
76,9844.015
77,9475.007
78,9017.008000000002
79,9565.006000000001
80,9539.005000000001
81,9924.007000000001
82,10163.005000000001
83,9557.006000000001
84,9360.008
85,9339.009
86,9162.007000000001
87,9560.008000000002
88,9594.006
89,9254.006000000001
90,8882.005000000001
91,8492.006
92,9295.004
93,9875.005000000001
94,10239.009000000002
95,10655.007000000001
96,11656.005000000001
97,11492.003
98,11682.004
99,11695.004
100,12072.007000000001
101,11934.002
102,11544.005000000001
103,11362.004
104,11141.006000000001
105,10777.005000000001
106,9828.003
107,9797.006000000001
108,9854.003
109,10168.005000000001
110,9942.008
111,10719.006000000001
112,10573.002
113,9975.003
114,9762.006
115,9549.008
116,9346.008
117,9372.006000000001
118,9177.006
119,9027.007000000001
120,9043.007000000001
121,9306.005000000001
122,9472.006000000001
123,10270.004
124,10831.002
125,11182.005000000001
126,12365.004
127,12547.005000000001
128,12781.002
129,12404.001
130,12157.005000000001
131,11767.005000000001
132,11606.003
133,11008.004
134,10818.003
135,9999.006000000001
136,8829.006
137,8837.006
138,9032.006
139,9290.005
140,9498.004
141,10033.004
142,10220.004
143,9999.006000000001
144,10384.007000000001
145,10735.010000000002
146,10761.008000000002
147,10813.004
148,10826.003
149,10631.003
150,10649.001
151,9906.002
152,10101.002
153,10478.003
154,10818.003
155,11598.003
156,12178.004
157,11920.005000000001
158,11920.005000000001
159,11496.007000000001
160,11314.006000000001
161,11496.007
162,11088.009
163,10334.007000000001
164,9562.007
165,9562.007
166,8779.006
167,8811.008
168,9245.004
169,9685.004
170,9854.006000000001
171,10215.005
172,10205.007
173,10189.007
174,10423.004
175,10202.006000000001
176,10168.008
177,10943.009
178,10761.008
179,11572.005000000001
180,11416.002
181,11050.004
182,10824.007000000001
183,11024.006000000001
184,11390.004
185,11593.004
186,12334.007000000001
187,12089.007000000001
188,12146.002
189,11327.005000000001
190,11140.005000000001
191,11548.003
192,11314.006000000001
193,11548.003
194,11340.004
195,10963.003
196,10360.005000000001
197,10592.006
198,10982.006
199,11253.004
200,11591.008
201,11380.006
202,11544.009
203,10735.010000000002
204,11190.005000000001
205,10969.007000000001
206,11013.003
207,10787.006000000001
208,10605.005000000001
209,10610.004
210,10246.002
211,9893.003
212,9667.006000000001
213,9685.004
214,9778.008
215,10194.006000000001
216,10727.009
217,10703.006000000001
218,10703.006000000001
219,10308.007000000001
220,10295.006
221,10659.008
222,10503.005000000001
223,11093.004
224,10464.006000000001
225,10451.006000000001
226,10053.005000000001
227,10688.005000000001
228,11078.005000000001
229,11310.005000000001
230,11677.008000000002
231,11814.007000000001
232,12235.004
233,11871.002
234,12053.003
235,12053.003
236,11830.007
237,11609.008
238,11206.008
