Saturday,FR,DE,IT,PL,ES,UK
,1.013277428,1.257861635,1.257861635,1.537386443,0.663871419,0.978336827
,1.013277428,1.257861635,1.257861635,1.537386443,0.663871419,0.978336827
,1.013277428,1.257861635,1.257861635,1.537386443,0.663871419,0.978336827
,1.013277428,1.257861635,1.257861635,1.537386443,0.663871419,0.978336827
,1.013277428,1.257861635,1.257861635,1.537386443,0.663871419,0.978336827
,1.013277428,1.257861635,1.257861635,1.537386443,0.663871419,0.978336827
,1.013277428,1.257861635,1.257861635,1.537386443,0.663871419,0.978336827
,1.013277428,1.257861635,1.257861635,1.537386443,0.663871419,0.978336827
,1.013277428,1.257861635,1.257861635,1.537386443,0.663871419,0.978336827
,8.909853249,10.27253669,9.958071279,11.42557652,8.595387841,10.48218029
,8.909853249,10.27253669,9.958071279,11.42557652,8.595387841,10.48218029
,8.909853249,10.27253669,9.958071279,11.42557652,8.595387841,10.48218029
,7.798742138,7.924528302,7.767295597,7.547169811,8.616352201,8.616352201
,7.798742138,7.924528302,7.767295597,7.547169811,8.616352201,8.616352201
,7.798742138,7.924528302,7.767295597,7.547169811,8.616352201,8.616352201
,7.798742138,7.924528302,7.767295597,7.547169811,8.616352201,8.616352201
,7.798742138,7.924528302,7.767295597,7.547169811,8.616352201,8.616352201
,6.446540881,4.874213836,5.267295597,3.459119497,4.402515723,4.716981132
,6.446540881,4.874213836,5.267295597,3.459119497,4.402515723,4.716981132
,2.51572327,1.698113208,1.949685535,1.446540881,3.270440252,1.446540881
,2.51572327,1.698113208,1.949685535,1.446540881,3.270440252,1.446540881
,2.51572327,1.698113208,1.949685535,1.446540881,3.270440252,1.446540881
,2.51572327,1.698113208,1.949685535,1.446540881,3.270440252,1.446540881
,2.51572327,1.698113208,1.949685535,1.446540881,3.270440252,1.446540881
