,T_groundwater
0,20.645424658971127
1,21.16392017644171
2,20.91330022835454
3,21.132281407975203
4,21.05541390414232
5,21.32957455635555
6,21.609105743119414
7,21.489148714654156
8,21.12474081441823
9,21.470746033887103
10,20.943313345033115
11,20.80355725495099
12,20.888981415962615
13,21.281013346757014
14,21.29892804234355
15,21.65019519504096
16,21.535861137613722
17,20.781798841889263
18,20.505548195079097
19,20.7583298871371
20,20.681816242489166
21,20.593895107245515
22,20.538669847451963
23,20.641146847269365
24,20.55445772930404
25,21.547880185978666
26,21.86742825527769
27,21.671442596422956
28,21.113055765480773
29,21.12213665756738
30,22.01553356009777
31,21.90679637263462
32,22.06832938222646
33,21.573925983124838
34,22.39981034088132
35,22.476547111936018
36,21.84754838536532
37,21.777754235678252
38,21.524118831106932
39,22.219811819614083
40,20.745572492618507
41,19.37606394866158
42,19.60834531257116
43,20.3465939545684
44,20.605577709318275
45,20.328710428258155
46,20.266871420760815
47,20.238995728577535
48,20.52078940022871
49,20.85219476534306
50,21.04155709783543
51,20.509721834590728
52,20.75010401632185
53,19.931813283935877
54,19.2347233192986
55,18.604332952620712
56,19.27329393646654
57,19.95064705305345
58,19.935190165953845
59,20.05575599397893
60,19.85055238502298
61,19.51334286764717
62,20.03858553595968
63,20.355113601126487
64,20.01085760951434
65,19.814512105244418
66,20.226334237158472
67,20.155886810198133
68,19.19485078119901
69,18.29271969910065
70,18.26791081179589
71,17.72304283962078
72,17.517505415486514
73,17.985688247210014
74,18.464758890933446
75,17.97244052452293
76,18.34520638761412
77,18.404425610528598
78,18.123724320950807
79,17.921520361700626
80,16.98272467515814
81,16.387734354342058
82,17.16781458286528
83,17.555098630435715
84,17.236754515014617
85,16.943353053856185
86,16.745742858985164
87,16.79029338822502
88,17.57632549622238
89,17.300035041024667
90,16.495638712879035
91,16.27999208525375
92,16.356756276972437
93,16.528029892129094
94,16.201467071118614
95,16.333333041672965
96,17.038052725459977
97,16.689946844690596
98,16.228093028735714
99,15.562054976309732
100,14.354694950999738
101,13.374257110141802
102,13.085513333712193
103,12.917297942123934
104,13.743236858485373
105,13.872025381988848
106,13.78996290576405
107,14.673279301419614
108,14.351329359163099
109,13.893571950167283
110,13.377799188961927
111,13.010275318074303
112,12.692056148253341
113,12.316384887611726
114,11.418171304131809
115,10.172950054869753
116,11.311637626303767
117,10.820358719160788
118,10.446175411056245
119,10.52694826361473
120,9.654877985183997
121,9.9898734824765
122,9.44045463447331
123,10.432502288591303
124,10.764813812448235
125,11.353547534560029
126,11.588993573971607
127,11.407969669933149
128,11.074723956067638
129,10.508365512363863
130,9.636336583884919
131,9.362988966193273
132,9.568368724159967
133,9.112209244159196
134,9.747906925204454
135,9.151036800694303
136,7.49830218799068
137,7.217578088052962
138,7.936869515684343
139,8.571811496502507
140,8.909653438968808
141,8.954701839810225
142,8.182877572834869
143,7.812679427808682
144,7.206486191060673
145,7.94308268448429
146,8.690185804602319
147,8.267204936696073
