day;AQUILA;TERAMO;CHIETI;PESCARA;POTENZA;MATERA;COSENZA;CATANZARO;R.CALABRIA;CROTONE;V_VALENTIA;CASERTA;BENEVENTO;NAPOLI;AVELLINO;SALERNO;PIACENZA;PARMA;R_EMILIA;MODENA;BOLOGNA;FERRARA;RAVENNA;F.CESENA;RIMINI;UDINE;GORIZIA;TRIESTE;PORDENONE;VITERBO;RIETI;ROMA;LATINA;FROSINONE;IMPERIA;SAVONA;GENOVA;LA_SPEZIA;VARESE;COMO;SONDRIO;MILANO;BERGAMO;BRESCIA;PAVIA;CREMONA;MANTOVA;LECCO;LODI;P_URBINO;ANCONA;MACERATA;A.PICENO;CAMPOBASSO;ISERNIA;TORINO;VERCELLI;NOVARA;CUNEO;ASTI;ALESSANDRIA;BIELLA;V_C_OSSOLA;FOGGIA;BARI;TARANTO;BRINDISI;LECCE;SASSARI;NUORO;CAGLIARI;ORISTANO;TRAPANI;PALERMO;MESSINA;AGRIGENTO;CALTANISSETTA;ENNA;CATANIA;RAGUSA;SIRACUSA;MASSA;LUCCA;PISTOIA;FIRENZE;LIVORNO;PISA;AREZZO;SIENA;GROSSETO;PRATO;BOLZANO;TRENTO;PERUGIA;TERNI;AOSTA;VERONA;VICENZA;BELLUNO;TREVISO;VENEZIA;PADOVA;ROVIGO
0;9.734428178992179;12.450834554619863;12.762938739380736;12.971187528020272;10.619437575688783;13.654651068147864;13.447533835424277;11.340608750738824;15.799900988181825;15.685191000346324;13.282778922029053;13.92443757568873;13.14674010924363;14.358398762903315;12.476351981389833;14.71386679943305;10.444981286294354;10.593056572664715;10.379940134308555;10.374106800975236;11.003033389351339;10.419426435678432;10.394209540701244;10.572520042984346;10.609108048440142;10.463608527222544;10.852184826231625;12.805620899290926;10.445526335441716;11.890373135000543;9.757910235797333;14.19944847746625;13.940172454163164;12.722476124197584;14.272280831323627;12.764075809621136;13.521252919696737;11.072629688120891;9.695739221066574;9.034695898166511;8.369068044285232;11.309149640721994;9.619266618326723;9.797418260584296;10.307182145485282;9.402393102033185;10.13376834457414;11.02554515713953;10.54919052215308;11.832782600062117;12.426933341088887;9.529707313691798;10.686861197749145;10.499585977515215;8.715249914386947;9.823072556444188;10.03849437197146;8.219510353706541;7.840396755313133;9.766440136352884;9.498814006674554;9.091530901651781;10.484762054160955;11.964450827629019;14.13341819143551;14.858033466099714;14.117213071271285;14.301305721088648;12.894270627679152;11.490731618043466;14.6457768914854;14.098739974468522;15.202131639615716;16.373398762903463;15.511298306282383;15.437154470665844;14.88686800323338;13.872749240165849;15.48561337477547;12.57546497294905;15.534335998156765;12.603688435898494;11.972210453631291;11.352980673341282;13.111986768525249;11.67044218134253;12.228640507759245;10.374590262382398;10.918425878820639;12.989208185881827;11.881359668775138;10.731474804049519;8.996468532689274;11.579677577230957;9.525476663988949;8.582546051220572;10.492489401594133;10.78443368467909;7.176862510782106;10.502458065807286;10.736348253249961;10.293615697324327;10.20196044618269
1;9.709316092929345;12.440677976916607;12.72587648160218;12.944537043657217;10.589083180662593;13.617588810369307;13.4201258841847;11.321103163050763;15.780395400493765;15.654836605320133;13.245716664250498;13.89408318066254;13.109677851465076;14.328044367877125;12.439289723611278;14.68351240440686;10.448090819240024;10.589947039719043;10.376830601362883;10.370997268029566;10.981893436567987;10.41631690273276;10.391100007755572;10.569410510038676;10.58878226672054;10.453451949519287;10.842901323567444;12.796337396626745;10.435369757738462;11.860742398252533;9.75746575342468;14.16981774071824;13.951199097292324;12.697364038134754;14.239123853808458;12.77596925074387;13.52524931081267;11.070407934767205;9.699735612182508;9.032474144812825;8.366846290931544;11.314915933083338;9.623263009442656;9.802300325653556;10.316465648149462;9.409041913009737;10.123611766870884;11.029541548255464;10.524858911653329;11.829673067116445;12.4247115877352;9.527485560338112;10.698754638871879;10.469231582489025;8.730572752260873;9.832356059108369;10.028337794268204;8.230536996835703;7.844393146429066;9.758032459629973;9.509840649803714;9.102557544780943;10.494045556825135;11.979773665502943;14.096355933656953;14.827679071073524;14.096887289551685;14.270236662446626;12.884114049975897;11.466400007543717;14.604660430896978;14.064906402099904;15.171777244589526;16.343044367877276;15.480943911256192;15.406800075639653;14.868188389503457;13.835073442576999;15.45525897974928;12.545110577922859;15.496660200567916;12.59353185819524;11.978859264607843;11.342824095638026;13.100960125396089;11.672663934696217;12.203528421696411;10.385616905511558;10.929452521949798;12.970528572151904;11.8923863119043;10.708725541211638;9.004876209412185;11.576568044285285;9.522367131043278;8.61217678796858;10.500018760999708;10.77515018201491;7.186146013446287;10.482952478119227;10.726191675546707;10.295837450678015;10.204182199536378
2;9.684984482429597;12.431394474252427;12.68943874598077;12.918651923284365;10.559452443914584;13.581151074747897;13.393475399821643;11.30242354932084;15.761715786763842;15.625205868572124;13.209278928629086;13.86445244391453;13.073240115843664;14.298413631129115;12.402851987989866;14.653881667658851;10.452087210355957;10.587725286365357;10.374608848009197;10.368775514675878;10.961567654848384;10.414095149379074;10.388878254401886;10.567188756684988;10.56927667903248;10.444168446855107;10.834493646844534;12.787929719903834;10.426086255074281;11.831844100009487;9.757910235797333;14.140919442475195;13.963092538415058;12.673032427635004;14.206653296274762;12.788725965576887;13.53013137588193;11.069074619358972;9.704617677251768;9.031140829404592;8.365512975523309;11.32156474405989;9.628145074511917;9.8080666180149;10.326622225852718;9.416571272415313;10.114328264206703;11.034423613324725;10.501314986697972;11.82745131376276;12.423378272326964;9.526152244929879;10.711511353704898;10.439600845741015;8.746742220223839;9.842512636811625;10.019054291604023;8.242430437958436;7.849275211498327;9.750503100224396;9.521734090926447;9.114450985903677;10.504202134528391;11.99594313346591;14.059918198035543;14.798048334325514;14.077381701863624;14.239882267420436;12.874830547311717;11.44285608258836;14.564087915747411;14.031749424584735;15.142146507841517;16.313413631129265;15.451313174508183;15.377169338891644;14.85034028490436;13.798011184798444;15.42562824300127;12.51547984117485;15.45959794278936;12.58424835553106;11.986388624013419;11.333540592973845;13.090803547692833;11.675773467641887;12.179196811196663;10.397510346634292;10.941345963072532;12.952680467552808;11.904279753027033;10.686777681588781;9.014159712076365;11.574346290931599;9.520145377689591;8.642531182994771;10.508426437722619;10.766742505292;7.196302591149543;10.464272864389304;10.716908172882526;10.298946983623685;10.207291732482048
3;9.66144055747424;12.422986797529516;12.653636329803955;12.893539837221535;10.530554145671537;13.545348658571083;13.367590279448795;11.284575444721744;15.743867682164746;15.596307570329078;13.173476512452272;13.835554145671484;13.03743769966685;14.269515332886069;12.367049571813052;14.624983369415805;10.456969275425218;10.586391970957123;10.373275532600964;10.367442199267643;10.942062067160325;10.41276183397084;10.387544938993653;10.565855441276753;10.550597065302558;10.435760770132196;10.826964287438958;12.780400360498259;10.41767857835137;11.803686803460849;9.759243551205566;14.112762145926556;13.975849253248077;12.649488502679647;14.174878780449509;12.802342174030274;13.535897668243274;11.06863013698632;9.710383969613112;9.03069634703194;8.365068493150659;11.329094103465465;9.63391136687326;9.814715428991452;10.33764886898188;9.424978949138223;10.105920587483793;11.040189905686068;10.478565723860092;11.826117998354526;12.422933789954314;9.525707762557227;10.725127562158285;10.41070254749797;8.763753526913522;9.853539279940787;10.010646614881113;8.255187152791454;7.85504150385967;9.743854289247846;9.534490805759466;9.127207700736694;10.515228777657551;12.012954440155594;14.024115781858729;14.769150036082468;14.058702088133701;14.210251530672426;12.866422870588806;11.42010681975048;14.524071368548569;13.99927886705104;15.11324820959847;16.28451533288622;15.422414876265137;15.348271040648598;14.833328978214677;13.761573449177032;15.396729944758224;12.486581542931804;15.42316020716795;12.575840678808149;11.99479630073633;11.325132916250935;13.081520045028652;11.67976985875782;12.155652886241306;10.41026706146731;10.954102677905551;12.935669160863124;11.91703646786005;10.665637728805429;9.024316289779621;11.573012975523365;9.518812062281356;8.673600241636791;10.5177099403868;10.759213145886424;7.207329234278704;10.446424759790208;10.708500496159616;10.302943374739618;10.211288123597981
4;9.63869129463636;12.41545743812394;12.618479842100331;12.869208226721785;10.5023968491229;13.510192170867459;13.342478193385961;11.26756413803206;15.726856375475062;15.56815027378044;13.13832002474865;13.807396849122846;13.002281211963227;14.24135803633743;12.33189308410943;14.596826072867167;10.462735567786561;10.585947488584472;10.372831050228312;10.366997716894993;10.923382453430403;10.412317351598189;10.387100456621;10.565410958904103;10.532748960703461;10.428231410726621;10.820315476462405;12.773751549521705;10.410149218945794;11.77627885222127;9.761465304559252;14.085354194686976;13.989465461701464;12.626739239841767;14.143809721807488;12.816813841327603;13.542546479219826;11.069074619358972;9.717032780589664;9.031140829404592;8.365512975523309;11.337501780188376;9.640560177849812;9.822244788397027;10.349542310104614;9.434262451802404;10.098391228078217;11.04683871666262;10.456617864237234;11.825673515981874;12.423378272326964;9.526152244929879;10.739599229455614;10.382545250949331;8.781601631512618;9.86543272106352;10.003117255475537;8.26880336124484;7.861690314836222;9.738087996886502;9.548107014212853;9.14082390919008;10.527122218780285;12.030802544754692;13.988959294155105;14.74099273953383;14.040853983534605;14.18135323242938;12.85889351118323;11.398158960127622;14.484622647067013;13.967504351225786;15.085090913049832;16.25635803633758;15.394257579716498;15.32011374409996;14.81715951025171;13.725771033000218;15.368572648209586;12.458424246383164;15.387357790991135;12.568311319402572;12.00407980340051;11.31760355684536;13.073112368305742;11.684651923827081;12.132903623403426;10.423883269920697;10.967718886358938;12.919499692900157;11.930652676313438;10.645311947085826;9.035342932908783;11.572568493150714;9.518367579908706;8.705374757462046;10.527866518090056;10.75256433490987;7.219222675401437;10.429413453100523;10.700971136754038;10.307825439808878;10.216170188667242
5;9.616743435013502;12.408808627147387;12.583979700495945;12.845664301766428;10.47498889788332;13.475692029263072;13.318146582886213;11.251394670069093;15.710686907512095;15.54074232254086;13.103819883144263;13.779988897883266;12.967781070358841;14.213950085097851;12.297392942505043;14.569418121627587;10.469384378763113;10.586391970957123;10.373275532600964;10.367442199267643;10.905534348831306;10.41276183397084;10.387544938993653;10.565855441276753;10.515737654013776;10.421582599750067;10.814549184101063;12.767985257160364;10.403500407969243;11.749628367858215;9.764574837504924;14.058703710323922;14.003937128998793;12.60479138021891;14.113455326781297;12.832136679201529;13.550075838625402;11.070407934767205;9.724562139995239;9.032474144812825;8.366846290931544;11.346785282852556;9.648089537255387;9.830652465119938;10.36229902493763;9.44441902950566;10.091742417101663;11.054368076068195;10.435477911453882;11.826117998354526;12.4247115877352;9.527485560338112;10.754922067329538;10.355137299709751;8.800281245242541;9.878189435896537;9.996468444498984;8.28327502854217;7.869219674241798;9.733205931817242;9.562578681510182;9.15529557648741;10.539878933613304;12.049482158484615;13.954459152550719;14.71358478829425;14.023842676844922;14.153195935880742;12.852244700206679;11.37701900734427;14.445753440810291;13.936435292583765;15.057682961810253;16.228950085098;15.366849628476919;15.29270579286038;14.801836672377785;13.690614545296595;15.341164696970006;12.431016295143586;15.352201303287512;12.561662508426021;12.014236381103766;11.310954745868806;13.065583008900166;11.690418216188425;12.110955763780568;10.438354937218026;10.982190553656267;12.904176855026233;11.945124343610766;10.625806359397767;9.047236374031517;11.573012975523365;9.518812062281356;8.737845314995742;10.538893161219217;10.746798042548528;7.231979390234455;10.413243985137557;10.694322325777488;10.313591732170222;10.221936481028585
6;9.59560348223015;12.403042334786045;12.550146128127327;12.822915038928548;10.448338413520265;13.441858456894455;13.294602657930856;11.236071832195169;15.69536406963817;15.514091838177805;13.069986310775645;13.753338413520211;12.933947497990223;14.187299600734796;12.263559370136425;14.542767637264532;10.476913738168689;10.587725286365357;10.374608848009197;10.368775514675878;10.888523042141621;10.414095149379074;10.388878254401886;10.567188756684988;10.49956818605081;10.415816307388726;10.809667119031802;12.763103192091103;10.3977341156079;11.723743247485363;9.768571228620857;14.03281858995107;14.019259966872717;12.583651427435557;14.083824590033288;12.848306147164495;13.558483515348312;11.072629688120891;9.73296981671815;9.034695898166511;8.369068044285232;11.356941860555812;9.656497213978298;9.839935967784118;10.375915233391018;9.45544567263482;10.085976124740322;11.062775752791106;10.415152129734281;11.82745131376276;12.426933341088887;9.529707313691798;10.771091535292506;10.328486815346697;8.819786832930602;9.891805644349924;9.990702152137642;8.298597866416095;7.877627350964708;9.729209540701309;9.577901519384106;9.170618414361336;10.55349514206669;12.068987746172674;13.9206255801821;14.686934303931196;14.007673208881954;14.125787984641162;12.846478407845336;11.356693225624667;14.407475267563084;13.906080897557574;15.031032477447198;16.202299600734946;15.340199144113864;15.266055308497325;14.787365005080456;13.656114403692209;15.314514212606952;12.40436581078053;15.317701161683125;12.555896216064678;12.025263024232927;11.305188453507464;13.058934197923612;11.697067027164977;12.089815810997216;10.45367777509195;10.997513391530191;12.889705187728904;11.960447181484692;10.607126745667845;9.059993088864534;11.574346290931599;9.520145377689591;8.77100229251091;10.550786602341951;10.741915977479268;7.245595598687842;10.39792114726363;10.688556033416145;10.320240543146774;10.228585292005137
7;9.575277700510547;12.398160269716785;12.516989150612158;12.80096717930569;10.422453293147413;13.408701479379285;13.271853395092975;11.22160016489784;15.680892402340842;15.488206717804953;13.036829333260476;13.72745329314736;12.900790520475054;14.161414480361945;12.230402392621256;14.51688251689168;10.4853214148916;10.589947039719043;10.376830601362883;10.370997268029566;10.872353574178655;10.41631690273276;10.391100007755572;10.569410510038676;10.484245348176884;10.410934242319465;10.805670727915869;12.75910680097517;10.39285205053864;11.698631161422533;9.773453293690118;14.00770650388824;14.035429434835685;12.563325645715956;14.054926291790242;12.865317453854178;13.567767018012493;11.075739221066563;9.74225331938233;9.037805431112183;8.372177577230902;11.367968503684974;9.665780716642479;9.850092545487374;10.390386900688346;9.467339113757554;10.081094059671061;11.072059255455287;10.39564654204622;11.829673067116445;12.430042874034557;9.53281684663747;10.78810284198219;10.302601694973845;8.840112614650202;9.906277311647253;9.985820087068381;8.314767334379061;7.886910853628889;9.726100007755637;9.594070987347074;9.186787882324301;10.56796680936402;12.089313527892276;13.887468602666932;14.661049183558344;13.99235037100803;14.099137500278108;12.841596342776075;11.337187637936609;14.369799469974236;13.876450160809565;15.005147357074346;16.176414480362094;15.314314023741012;15.240170188124473;14.77374879662707;13.622280831323591;15.2886290922341;12.378480690407681;15.283867589314507;12.551014150995417;12.037156465355661;11.300306388438203;13.05316790556227;11.704596386570552;12.069490029277613;10.469847243054918;11.013682859493159;12.876088979275517;11.976616649447658;10.589278641068748;9.07360929731792;11.576568044285285;9.522367131043278;8.804835864879529;10.563543317174968;10.737919586363335;7.260067265985171;10.383449479966304;10.683673968346884;10.32776990255235;10.236114651410713
8;9.555772112822488;12.394163878600851;12.484518593078462;12.779827226522338;10.397341207084583;13.37623092184559;13.249905535470118;11.207983956444453;15.667276193887455;15.463094631742123;13.00435877572678;13.70234120708453;12.868319962941358;14.136302394299115;12.19793183508756;14.49177043082885;10.49460491755578;10.593056572664715;10.379940134308555;10.374106800975236;10.85703073630473;10.419426435678432;10.394209540701244;10.572520042984346;10.469773680879557;10.406937851203532;10.802561194970199;12.7559972680295;10.388855659422706;11.674299550922782;9.779219586051461;13.98337489338849;14.052440741525368;12.543820058027896;14.026768995241603;12.883165558453275;13.577923595715749;11.079735612182496;9.752409897085586;9.041801822228116;8.376173968346835;11.379861944807708;9.675937294345735;9.861119188616534;10.405709738562273;9.480095828590573;10.077097668555128;11.082215833158543;10.376966928316298;11.832782600062117;12.43403926515049;9.536813237753403;10.805950946581287;10.277489608911015;8.861252567433555;9.92160014952118;9.981823695952448;8.331778641068745;7.897067431332145;9.723878254401951;9.611082294036757;9.203799189013985;10.583289647237944;12.110453480675627;13.854998045133236;14.635937097495514;13.9778787037107;14.073252379905256;12.837599951660142;11.318508024206686;14.33273721219568;13.847551862566519;14.980035271011516;16.151302394299265;15.289201937678182;15.215058102061644;14.76099208179405;13.589123853808422;15.26351700617127;12.353368604344848;15.250710611799338;12.547017759879484;12.049913180188678;11.29630999732227;13.04828584049301;11.713004063293463;12.049984441589555;10.486858549744602;11.030694166182842;12.863332264442498;11.993627956137342;10.572267334379063;9.08808096461525;11.579677577230957;9.525476663988949;8.839336006483915;10.577159525628355;10.734810053417664;7.275390103859096;10.369833271512917;10.679677577230951;10.33617757927526;10.244522328133623
9;9.537092499092566;12.391054345655181;12.45274407725321;12.759501444802737;10.373009596584833;13.344456406020337;13.228765582686766;11.195227241611434;15.654519479054436;15.438763021242373;12.972584259901527;13.67800959658478;12.836545447116105;14.111970783799364;12.166157319262307;14.4674388203291;10.504761495259036;10.597052963780648;10.383936525424488;10.378103192091169;10.842559069007402;10.423422826794365;10.398205931817177;10.576516434100279;10.45615747242617;10.403828318257862;10.800339441616511;12.753775514675812;10.385746126477034;11.650755625967426;9.785868397028011;13.959830968433133;14.070288846124466;12.525140444297973;13.999361044002024;12.901845172183197;13.588950238844909;11.084617677251757;9.763436540214748;9.046683887297377;8.381056033416096;11.392618659640725;9.686963937474896;9.873012629739268;10.421879206525238;9.49371203704396;10.073988135609458;11.093242476287703;10.359118823717202;11.83677899117805;12.43892133021975;9.541695302822664;10.82463056031121;10.253157998411265;8.883200427056412;9.937769617484145;9.978714163006778;8.349626745667841;7.908094074461306;9.722544938993718;9.628930398635855;9.221647293613081;10.599459115200911;12.132401340298484;13.823223529307983;14.611605486995764;13.964262495257314;14.048140293842426;12.83449041871447;11.30065991960759;14.29629947657427;13.81939456601788;14.955703660511766;16.126970783799514;15.264870327178432;15.190726491561893;14.749098640671317;13.556653296274726;15.23918539567152;12.329036993845099;15.218240054265642;12.543908226933812;12.063529388642065;11.2932004643766;13.044289449377077;11.722287565957643;12.031304827859632;10.5047066543437;11.04854227078194;12.851438823319764;12.011476060736438;10.556097866416097;9.103403802489176;11.58367396834689;9.529473055104882;8.874492494187537;10.591631192925684;10.732588300063977;7.291559571822063;10.357076556679898;10.676568044285279;10.34546108193944;10.253805830797804
